.Name,.Symbol,AverageDailyVolume,BookValue,DividendYield,EBITDA,EPSEstimateCurrentYear,EPSEstimateNextQuarter,EPSEstimateNextYear,EarningsShare,FiftydayMovingAverage,MarketCapitalization,OneyrTargetChange,PEGRatio,PERatio,PercentChangeAfterHours,PercentChangeFromFiftydayMovingAverage,PercentChangeFromTwoHundreddayMovingAverage,PercentChangeFromYearHigh,PercentChangeFromYearLow,PriceBook,PriceEPSEstimateCurrentYear,PriceEPSEstimateNextYear,PriceSales,ShortRatio,TwoHundreddayMovingAverage,Volume
Tractor Supply Company,TSCO,1932840,11.11,1.37,839840000.0,3.50,1.30,3.93,3.27,70.56,9210000000.0,0.19059792643090478,1.50,21.55,-0.003408606731998276,-0.0013,-0.0163,-0.2754,0.1459,6.34,20.13,17.93,1.36,3.72,71.64,1694723
"Tyson Foods, Inc. Common Stock",TSN,2733510,26.01,1.45,3780000000.0,5.00,1.19,4.99,4.96,62.49,23080000000.0,0.10135674381484439,5.52,12.68,-0.002873104549082184,0.0059,-0.0297,-0.18420000000000003,0.1281,2.41,12.57,12.60,0.62,3.54,64.78,1643997
Tesoro Corporation Common Stock,TSO,2495100,46.79,2.74,2089999999.9999998,5.84,2.04,6.95,6.12,83.26,9560000000.0,0.2866674904238229,-0.59,13.37,-0.003583343630297886,-0.0169,-0.0255,-0.12050000000000001,0.1779,1.73,14.02,11.78,0.39,4.65,83.99,2666944
"Total System Services, Inc. Com",TSS,1310600,11.45,0.76,854360000.0,3.13,0.80,3.47,1.73,53.68,9580000000.0,0.12384018178375311,1.45,30.15,-0.003219087294073164,-0.026699999999999998,0.0222,-0.0759,0.1305,4.61,16.69,15.06,2.32,1.46,51.12,937631
Time Warner Inc. New Common Sto,TWX,3397580,31.52,1.64,8570000000.0,5.95,1.30,6.54,4.95,98.00,76440000000.0,0.06707873138109233,1.51,19.92,-0.0016212382206910458,0.0074,0.0678,-0.005699999999999999,0.4313,3.13,16.59,15.09,2.61,2.64,92.45,2150125
Texas Instruments Incorporated,TXN,5215540,10.52,2.48,5700000000.0,3.67,0.90,3.95,3.48,79.69,79380000000.0,0.02383626606764011,2.19,22.83,-0.0031199301135654833,-0.0034999999999999996,0.0669,-0.0368,0.4132,7.62,21.64,20.10,5.99,2.94,74.43,5321309
Textron Inc. Common Stock,TXT,1848810,20.62,0.17,1590000000.0,2.59,0.59,3.00,3.53,47.55,12960000000.0,0.10049833887043191,2.27,13.61,-0.004775747508305561,0.0095,0.049400000000000006,-0.0575,0.4118,2.34,18.53,16.00,0.94,2.60,45.74,1165115
"Under Armour, Inc. Class C Comm",UA,5155270,4.63,0,562240000.0,0.41,-0.02,0.53,0.44,18.39,7910000000.0,0.26443100604727854,9.29,40.54,0.0,-0.019,-0.262,-0.6095,0.0581,3.93,44.00,34.04,1.65,3.55,24.44,2567005
"Under Armour, Inc. Class A Comm",UAA,6073570,4.63,0,562240000.0,0.42,-0.03,0.52,0.44,20.01,8520000000.0,0.14039533705017737,2.64,43.64,-0.003547896604156109,-0.0296,-0.3116,-0.595,0.0554,4.26,46.24,37.35,1.79,9.75,28.21,4449158
United Continental Holdings,UAL,4077860,27.52,0.00,6850000000.0,6.88,2.24,8.19,6.85,71.03,22250000000.0,0.1648489932885906,-1.59,10.32,-0.019155480984339945,-0.0045000000000000005,0.048,-0.0793,0.8901,2.60,10.28,8.63,0.62,3.79,67.47,17696474
"UDR, Inc. Common Stock",UDR,1395710,11.40,3.42,605530000.0,0.31,0.08,0.30,1.08,36.05,9760000000.0,0.009075907590758936,-3.40,33.81,-0.0002750275027502136,0.0129,0.0398,-0.0341,0.11380000000000001,3.19,117.81,121.73,10.08,5.52,35.12,917130
"Universal Health Services, Inc.",UHS,736282,46.91,0.32,1700000000.0,8.00,2.07,8.79,7.14,123.27,11870000000.0,0.1398136897529365,1.81,17.21,-0.0054272985014175434,-0.0033,0.0349,-0.1209,0.2322,2.63,15.36,13.98,1.22,2.73,118.72,702817
"Ulta Beauty, Inc.",ULTA,636110,24.95,0.00,868240000.0,8.07,1.77,9.74,6.52,281.10,17810000000.0,0.06022540912104413,1.71,43.96,0.0005233957918979737,0.019799999999999998,0.0941,-0.0091,0.4171,11.49,35.52,29.43,3.67,1.87,261.99,356930
UnitedHealth Group Incorporated,UNH,3714310,40.20,1.51,14510000000.0,9.51,2.32,10.65,7.25,166.40,157730000000.0,0.1176577229876723,1.13,22.87,-0.0035653855450810124,-0.0034000000000000002,0.061799999999999994,-0.036699999999999997,0.3224,4.12,17.44,15.57,0.85,2.33,156.18,3172925
Unum Group Common Stock,UNM,1259830,39.02,1.73,1620000000.0,4.10,1.02,4.38,3.95,47.54,10580000000.0,0.032418413658958256,1.61,11.68,-0.005403068943159672,-0.029300000000000003,0.0674,-0.08199999999999999,0.5492,1.19,11.26,10.54,0.96,2.85,43.24,888862
Union Pacific Corporation Commo,UNP,3848750,24.43,2.26,9310000000.0,5.64,1.34,6.36,5.07,106.63,87570000000.0,0.06653038468686123,1.68,21.22,-0.003809700799108029,0.0092,0.050499999999999996,-0.0338,0.36869999999999997,4.40,19.08,16.92,4.39,2.80,102.43,2298810
"United Parcel Service, Inc. Com",UPS,3267840,0.47,3.16,7700000000.0,5.95,1.47,6.45,3.87,106.39,92010000000.0,0.0660590114640105,2.14,27.33,-0.0025371170832549916,-0.006,-0.044800000000000006,-0.122,0.057,228.37,17.77,16.40,1.52,2.66,110.71,3029394
"United Rentals, Inc. Common Sto",URI,1696460,19.57,0,1720000000.0,9.22,2.24,10.22,6.45,124.73,10620000000.0,-0.004207684979358417,1.09,19.52,0.0002381708478882416,0.0096,0.1881,-0.0622,1.2483,6.44,13.66,12.32,1.84,4.45,105.99,954204
U.S. Bancorp Common Stock,USB,6975500,24.63,2.19,0.00,3.49,0.87,3.86,3.24,53.73,86210000000.0,0.08152816069318636,2.62,15.71,-0.0025600630169358984,-0.0529,0.0155,-0.10099999999999999,0.3225,2.06,14.58,13.18,4.44,2.86,50.11,7344910
United Technologies Corporation,UTX,2973620,34.10,2.34,10040000000.0,6.55,1.76,7.01,6.12,112.44,91180000000.0,0.05306520198440823,2.32,18.49,-0.0033664068036852735,0.0062,0.044000000000000004,-0.011399999999999999,0.1677,3.31,17.27,16.14,1.59,2.65,108.37,2393450
Visa Inc.,V,7946450,11.20,0.74,11010000000.0,3.32,0.81,3.86,2.58,88.94,206500000000.0,0.10477155075399502,1.66,34.44,-0.0029259509340536782,-0.001,0.0647,-0.0348,0.213,7.93,26.76,23.02,12.93,5.77,83.45,7058509
"Varian Medical Systems, Inc. Co",VAR,967536,18.45,0.00,633400000.0,3.88,0.97,4.28,3.51,88.71,8420000000.0,-0.07243171513878155,2.68,25.64,-0.00342806590733169,0.015,0.0018,-0.037599999999999995,0.3225,4.90,23.21,21.04,2.62,8.93,89.88,1741805
V.F. Corporation Common Stock,VFC,4255580,11.93,3.06,1930000000.0,3.05,0.33,3.31,2.55,53.67,22800000000.0,-0.00621572212065824,2.22,21.62,-0.000365630712979903,0.026000000000000002,0.022400000000000003,-0.1697,0.1459,4.58,18.05,16.63,1.88,7.67,53.85,2548032
Viacom Inc.,VIAB,4048920,11.23,1.72,2860000000.0,3.84,1.13,4.13,3.48,44.04,17780000000.0,0.027436984162391376,1.90,12.85,0.0020075842070044203,0.017,0.1298,-0.041299999999999996,0.3197,3.99,11.66,10.85,1.41,2.74,39.64,2595230
Valero Energy Corporation Commo,VLO,4471200,44.35,4.27,5520000000.0,4.99,1.62,6.17,4.93,66.77,29600000000.0,0.10696250956388687,0.64,13.30,-0.001224177505738333,-0.0171,0.0282,-0.0808,0.4,1.47,13.15,10.64,0.42,3.70,63.83,3926600
Vulcan Materials Company (Holdi,VMC,1573470,34.55,0.81,949850000.0,4.00,1.22,5.37,3.09,118.48,16040000000.0,0.13664084390967512,1.43,39.23,-0.003791000494478336,0.0229,-0.0009,-0.12300000000000001,0.1536,3.51,30.30,22.57,4.47,1.85,121.30,893730
Vornado Realty Trust Common Sto,VNO,862392,30.99,2.79,1400000000.0,2.14,0.56,2.33,4.34,104.51,19380000000.0,0.12139917695473246,1.13,23.64,0.0001959631589261157,-0.0195,0.009300000000000001,-0.0828,0.1867,3.29,47.88,43.98,7.21,4.42,101.52,700701
"Verisk Analytics, Inc.",VRSK,771836,7.98,0,937200000.0,3.30,0.81,3.62,3.46,81.07,13250000000.0,0.09236189757141067,2.35,23.04,-0.00251667295834912,-0.0178,-0.0276,-0.0889,0.0516,9.96,24.13,22.00,6.63,3.57,81.89,976414
"Ventas, Inc. Common Stock",VTR,1925230,29.54,4.78,1830000000.0,1.70,0.43,1.78,1.86,63.12,23220000000.0,-0.03974831184775929,5.52,35.26,0.0007673419275628923,0.037200000000000004,0.0354,-0.1475,0.1649,2.21,38.51,36.78,6.70,3.50,63.23,1228392
Verizon Communications Inc. Com,VZ,15433300,5.53,4.75,43400000000.0,3.84,1.00,3.94,3.21,49.52,198540000000.0,0.06757313555830247,7.00,15.17,-0.0006180469715698633,-0.0166,-0.0277,-0.1449,0.058499999999999996,8.79,12.68,12.36,1.57,1.92,50.09,13096177
Waters Corporation Common Stock,WAT,564095,28.77,0.00,727310000.0,7.02,1.66,7.64,6.41,155.62,12480000000.0,-0.0015346249760214148,2.63,24.32,-0.0014706822686871845,0.0016,0.0608,-0.0409,0.20929999999999999,5.44,22.21,20.40,5.78,4.53,146.95,267861
"Walgreens Boots Alliance, Inc.",WBA,3782510,27.82,1.82,7730000000.0,4.98,1.20,5.51,3.78,84.63,89370000000.0,0.1363471094412798,1.27,21.25,-0.0029087383347473628,-0.0231,-0.0053,-0.0605,0.0917,2.97,16.60,15.01,0.77,3.43,83.12,3464917
"WEC Energy Group, Inc. Common S",WEC,1845860,28.29,3.45,2440000000.0,3.10,0.60,3.28,2.96,59.96,19140000000.0,-0.008257638315441795,2.98,20.49,-0.0013212221304707006,0.011399999999999999,0.038599999999999995,-0.08259999999999999,0.13,2.14,19.56,18.49,2.56,4.16,58.39,1867259
Wells Fargo & Company Common St,WFC,17771600,35.21,2.77,0.00,4.21,1.05,4.61,3.99,57.21,270980000000.00003,0.08305830583058316,1.75,13.57,-0.0056839017235057465,-0.0533,0.0184,-0.09720000000000001,0.24359999999999998,1.55,12.86,11.75,3.23,2.14,53.18,28086447
"Whole Foods Market, Inc.",WFM,5342630,10.34,1.80,1370000000.0,1.32,0.35,1.35,1.38,29.99,10690000000.0,-0.1694468832309044,-8.87,24.22,0.0020485806262804385,0.1188,0.11560000000000001,-0.0571,0.2125,3.31,25.42,24.85,0.69,8.92,30.07,16677114
Whirlpool Corporation Common St,WHR,791076,64.10,2.39,2180000000.0,15.59,3.60,17.56,11.50,173.71,12530000000.0,0.1903341288782816,0.80,14.63,-0.0019093078758949389,-0.0311,-0.015600000000000001,-0.1329,0.1535,2.61,10.80,9.58,0.60,7.02,170.96,385964
Willis Towers Watson Public Lim,WLTW,712087,73.85,1.65,1490000000.0,8.45,1.75,9.77,3.04,129.11,17230000000.0,0.07850657482780199,1.37,41.82,-0.00493112085159686,-0.0152,0.0075,-0.046900000000000004,0.1275,1.73,15.05,13.01,2.23,5.06,126.19,720486
"Waste Management, Inc. Common S",WM,1537100,12.06,2.32,3710000000.0,3.17,0.81,3.46,2.65,72.87,32040000000.0,0.03580738098504588,2.22,27.50,-0.00013719303059411825,-0.0001,0.0546,-0.0139,0.30010000000000003,6.05,22.99,21.06,2.36,2.79,69.10,1212117
"Wal-Mart Stores, Inc. Common St",WMT,9201540,25.52,2.80,32840000000.000004,4.32,1.07,4.54,4.38,70.89,222710000000.0,0.014645496851902529,3.83,16.76,-0.0008212428141254335,0.0358,0.0527,-0.023399999999999997,0.17079999999999998,2.86,17.00,16.17,0.46,3.33,69.76,5810458
Westrock Company Common Stock,WRK,1585200,38.02,3.13,2160000000.0,2.63,0.79,3.25,0.54,52.28,12810000000.0,0.1435827310021489,2.15,94.78,-0.0056651689783160375,-0.024700000000000003,0.0027,-0.09140000000000001,0.5977,1.35,19.39,15.69,0.91,1.85,50.85,869349
Western Union Company (The) Com,WU,6223150,1.87,3.44,1370000000.0,1.70,0.42,1.77,0.51,19.95,9390000000.0,0.010813594232749635,1.66,38.27,0.0,-0.0215,-0.048799999999999996,-0.1401,0.0802,10.36,11.48,11.03,1.72,9.80,20.52,7094208
Weyerhaeuser Company Common Sto,WY,4032990,12.26,3.56,1590000000.0,1.01,0.28,1.33,1.40,33.74,25950000000.0,0.00978980708321342,6.81,24.76,0.0008638065073423018,0.026600000000000002,0.08900000000000001,-0.015300000000000001,0.30469999999999997,2.83,34.30,26.05,4.07,4.96,31.81,5591817
Wyndham Worldwide Corp Common,WYN,1057170,6.76,2.47,1310000000.0,6.20,1.55,6.91,5.53,83.78,9010000000.0,0.06253659679119328,1.06,15.52,0.001288207050005763,0.0241,0.12390000000000001,-0.0106,0.37060000000000004,12.63,13.84,12.42,1.74,3.35,76.34,801964
"Wynn Resorts, Limited",WYNN,2371170,1.55,1.75,950590000.0,4.23,1.01,4.93,2.38,107.05,11810000000.0,-0.05775520743673612,3.45,48.84,0.0019796866930623658,0.0857,0.1886,-0.0298,0.40869999999999995,74.76,27.48,23.58,2.64,3.48,97.79,1934890
Xcel Energy Inc. Common Stock,XEL,2560660,21.73,3.24,3650000000.0,2.20,0.40,2.45,2.21,43.92,22610000000.0,0.37101839389860913,3.60,20.19,-0.0013458950201883368,0.0151,0.07730000000000001,-0.018500000000000003,0.1732,2.05,19.22,18.20,2.04,3.42,41.38,1965820
XL Group Ltd.,XL,1560920,40.99,2.21,1100000000.0,3.17,0.90,4.04,1.56,40.24,10730000000.0,0.05985037406483795,0.41,25.97,-0.00024937655860346464,0.0068000000000000005,0.08,-0.0213,0.3356,0.98,12.78,10.03,1.01,5.61,37.51,1770358
"Xilinx, Inc.",XLNX,2459440,9.97,2.28,767130000.0,2.28,0.58,2.41,2.28,58.61,13930000000.0,0.07751384175745657,2.85,24.54,-0.002500446508305054,-0.0453,-0.0033,-0.1009,0.3475,5.62,24.54,23.22,6.03,7.86,56.14,2372404
Exxon Mobil Corporation Common,XOM,12727000,40.34,3.66,23240000000.0,3.96,0.97,4.69,1.88,82.02,343500000000.0,0.04980151569830382,0.64,44.13,-0.0006014675808974079,0.01,-0.029300000000000003,-0.133,0.0315,2.06,20.92,17.66,1.75,2.18,85.34,8576521
DENTSPLY SIRONA Inc.,XRAY,1643320,35.26,0.56,779500000.0,2.85,0.67,3.22,1.94,62.84,14400000000.0,0.07470071827613722,2.61,32.31,-0.003032721468475663,-0.0026,0.048799999999999996,-0.0479,0.1396,1.78,21.99,19.47,3.84,4.02,59.76,1112710
Xylem Inc. Common Stock New,XYL,1604480,12.21,1.43,615000000.0,2.29,0.56,2.61,1.45,49.06,9090000000.0,0.08119826566811184,1.59,34.94,-0.0017737485218762838,0.0329,0.0165,-0.0786,0.23739999999999997,4.16,22.13,19.41,2.41,2.39,49.85,980679
"Zimmer Biomet Holdings, Inc. Co",ZBH,1147330,48.20,0.80,2800000000.0,8.59,2.17,9.38,1.51,119.45,24050000000.0,0.12055319503457462,1.44,79.19,-0.0018328751145546551,0.0011,0.045,-0.1023,0.2504,2.49,13.92,12.75,3.14,3.66,114.43,497787
Zions Bancorporation,ZION,2526100,34.10,0.77,0.00,2.46,0.60,2.96,1.99,43.26,8289999999.999999,0.12900073295870995,1.39,20.57,-0.00513071096994866,-0.0536,0.0279,-0.15289999999999998,0.7785,1.20,16.64,13.83,3.62,7.84,39.83,2931635
Zoetis Inc. Class A Common Stoc,ZTS,3435870,3.02,0.80,1700000000.0,2.32,0.55,2.65,1.65,53.50,26000000000.0,0.12495259764884326,1.70,32.03,-0.0032233598786499673,-0.0121,0.0084,-0.0646,0.1672,17.48,22.78,19.94,5.31,1.77,52.41,1976384
